what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1288014233182
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1288014233183
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1288014233183
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1288014233184
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1288014233184
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1288014233185
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1288014233186
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1288014233187
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1288014233187
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1288014233194
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1288014233196
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1288014233200
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1288014233201
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1288014233205
os,sysinfo,,,"win32",1288014233244
arch,sysinfo,,,"x86",1288014233244
ws,sysinfo,,,"win32",1288014233244
locale,sysinfo,,,"en_US",1288014233244
processors,sysinfo,,,"2",1288014233244
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288014233244
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1288014233244
java.specification.name,sysinfo,,,"Java Platform API Specification",1288014233244
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288014233244
java.specification.version,sysinfo,,,"1.6",1288014233244
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288014233244
